Player,Hold_Count,sRE24,sTmRDiff,aTmRDiff,a_aLI,sIR,aIR,TmRS,sWPA,aWPA,sIP,aIP,sH,aH,sR,aR,sER,aER,sUER,aUER,sHR,aHR,sBB,aBB,sIBB,aIBB,s_SO,aSO,sHBP,aHBP,sBK,aBK,sWP,aWP,sBF,aBF,sBR,aBR,sIS,aIS,Hold_n_Loss,5+_Holds,Team,BONUS,ERA,FIP,K/9,BB/9,BAA,OBP,WHIP,RA9,Team_Sit_Player,SV,BS,MY_STATs_FINALLY,xHOLDS,is_xHolds_M/L_Holds,Teams_Holds,Better_xHolds,player_id
Ryan Pressly,7,2.42,8,1.142857143,1.557142857,1,0.142857143,,0.404,0.057714286,6      ,  6/7 ,9,1.285714286,0,0,0,0,0,0,0,0,2,0.285714286,0,0,3,0.428571429,0,0,0,0,0,0,26,3.714285714,11,1.571428571,0,0,0,TRUE,CHC,,0,3.135,0.333333333,0.222222222,0.346153846,0.423076923,1.833333333,0,174,5,2,,5.994252874,FALSE,110,6.182005747,519151
Génesis Cabrera,3,-1.28,3,1,1.413333333,0,0,,-0.157,-0.052333333,2      ,  2/3 ,5,1.666666667,3,1,3,1,0,0,1,0.333333333,0,0,0,0,1,0.333333333,0,0,0,0,0,0,10,3.333333333,5,1.666666667,0,0,0,FALSE,CHC,,13.5,8.635,0.111111111,0,0.5,0.5,2.5,13.5,174,1,1,,2.568965517,FALSE,110,2.649431034,650893
Daniel Palencia,6,2.98,20,3.333333333,1.478333333,0,0,,0.45,0.075,6  1/3 ,1  1/18,4,0.666666667,0,0,0,0,0,0,0,0,2,0.333333333,0,0,8,1.333333333,0,0,0,0,0,0,25,4.166666667,6,1,0,0,0,TRUE,CHC,,0,1.556052632,0.888888889,0.222222222,0.16,0.24,0.947368421,0,174,22,3,,5.137931034,FALSE,110,5.298862069,694037
Julian Merryweather,8,-0.29,17,2.125,1.2725,2,0.25,,0.299,0.037375,7  1/3 , 11/12,8,1,4,0.5,4,0.5,0,0,1,0.125,1,0.125,0,0,9,1.125,0,0,0,0,0,0,31,3.875,9,1.125,0,0,0,TRUE,CHC,,4.909090909,2.862272727,1,0.111111111,0.258064516,0.290322581,1.227272727,4.909090909,174,0,0,,6.850574713,FALSE,110,7.065149425,657240
Nate Pearson,1,-1.9,-4,-4,2.04,0,0,,-0.246,-0.246,1  1/3 ,1  1/3 ,3,3,2,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,9,9,5,5,0,0,0,FALSE,CHC,,13.5,7.635,0,0.222222222,0.333333333,0.555555556,3.75,13.5,174,0,0,,0.856321839,FALSE,110,0.883143678,663878
Brandon Eisert,9,2.33,10,1.111111111,1.74,4,0.444444444,,0.655,0.072777778,9      ,1      ,7,0.777777778,3,0.333333333,3,0.333333333,0,0,1,0.111111111,2,0.222222222,0,0,6,0.666666667,0,0,0,0,0,0,34,3.777777778,9,1,2,0.222222222,0,TRUE,CHW,,3,3.912777778,0.666666667,0.222222222,0.205882353,0.264705882,1,3,119,2,3,,11.26890756,TRUE,70,11.62187395,685126
Tyler Gilbert,5,1.48,9,1.8,1.83,4,0.8,,0.364,0.0728,4  2/3 , 14/15,3,0.6,0,0,0,0,0,0,0,0,2,0.4,0,0,6,1.2,0,0,0,0,0,0,18,3.6,5,1,2,0.4,0,TRUE,CHW,,0,1.849285714,0.666666667,0.222222222,0.166666667,0.277777778,1.071428571,0,119,1,0,,6.260504202,TRUE,70,6.456596639,656457
Jordan Leasure,14,5.67,41,2.928571429,1.55,5,0.357142857,,1.042,0.074428571,14      ,1      ,8,0.571428571,2,0.142857143,2,0.142857143,0,0,2,0.142857143,7,0.5,0,0,14,1,0,0,0,0,0,0,53,3.785714286,15,1.071428571,0,0,0,TRUE,CHW,,1.285714286,4.492142857,1.555555556,0.777777778,0.150943396,0.283018868,1.071428571,1.285714286,119,7,5,,17.52941176,TRUE,70,18.07847059,673929
Grant Taylor,9,-0.47,9,1,2.138888889,6,0.666666667,,0.189,0.021,9  2/3 ,1  2/27,12,1.333333333,7,0.777777778,7,0.777777778,0,0,0,0,2,0.222222222,0,0,9,1,0,0,0,0,1,0.111111111,41,4.555555556,14,1.555555556,3,0.333333333,2,TRUE,CHW,,6.517241379,1.89362069,1,0.222222222,0.292682927,0.341463415,1.448275862,6.517241379,119,6,1,,11.26890756,TRUE,70,11.62187395,691799
Fraser Ellard,2,-0.14,0,0,2.695,2,1,,-0.035,-0.0175,1  2/3 ,  5/6 ,2,1,3,1.5,3,1.5,0,0,0,0,2,1,0,0,1,0.5,0,0,0,0,0,0,8,4,4,2,0,0,1,FALSE,CHW,,16.2,5.535,0.111111111,0.222222222,0.25,0.5,2.4,16.2,119,0,0,,2.504201681,TRUE,70,2.582638655,686642
Wikelman González,1,0.28,1,1,4.98,1,1,,0.075,0.075,  2/3 ,  2/3 ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,3,1,1,0,0,0,FALSE,CHW,,0,4.635,0.111111111,0.111111111,0,0.333333333,1.5,0,119,0,0,,1.25210084,TRUE,70,1.291319328,682790
Mike Vasil,2,-2.23,4,2,1.16,1,0.5,,0.023,0.0115,3  1/3 ,1  2/3 ,5,2.5,3,1.5,2,1,1,0.5,1,0.5,1,0.5,0,0,3,1.5,0,0,0,0,0,0,17,8.5,6,3,1,0.5,0,FALSE,CHW,,5.4,6.135,0.333333333,0.111111111,0.294117647,0.352941176,1.8,8.1,119,4,2,,2.504201681,TRUE,70,2.582638655,678024
Dan Altavilla,2,-2.04,5,2.5,2.1,2,1,,-0.3,-0.15,1      ,  1/2 ,3,1.5,2,1,2,1,0,0,0,0,2,1,0,0,0,0,1,0.5,0,0,0,0,9,4.5,6,3,0,0,0,FALSE,CHW,,18,12.135,0,0.222222222,0.333333333,0.666666667,5,18,119,2,0,,2.504201681,TRUE,70,2.582638655,656186
Cam Booser,9,3.53,14,1.555555556,1.876666667,5,0.555555556,,0.672,0.074666667,7  1/3 , 22/27,2,0.222222222,1,0.111111111,0,0,1,0.111111111,0,0,3,0.333333333,0,0,11,1.222222222,0,0,0,0,1,0.111111111,27,3,5,0.555555556,0,0,0,TRUE,CHW,,0,1.362272727,1.222222222,0.333333333,0.074074074,0.185185185,0.681818182,1.227272727,119,1,3,,11.26890756,TRUE,70,11.62187395,592155
Tyler Alexander,3,0.29,6,2,2.156666667,1,0.333333333,,-0.069,-0.023,3  1/3 ,1  1/9 ,6,2,3,1,3,1,0,0,0,0,3,1,1,0.333333333,2,0.666666667,0,0,0,0,0,0,17,5.666666667,9,3,0,0,1,FALSE,CHW,,8.1,4.635,0.222222222,0.333333333,0.352941176,0.529411765,2.7,8.1,119,1,2,,3.756302521,TRUE,70,3.873957983,641302
Steven Wilson,10,2.87,22,2.2,1.763,5,0.5,,0.54,0.054,9  1/3 , 14/15,7,0.7,2,0.2,2,0.2,0,0,0,0,6,0.6,0,0,8,0.8,1,0.1,0,0,0,0,42,4.2,14,1.4,0,0,0,TRUE,CHW,,1.928571429,3.670714286,0.888888889,0.666666667,0.166666667,0.333333333,1.392857143,1.928571429,119,2,7,,12.5210084,TRUE,70,12.91319328,621051
Miguel Castro,1,0.48,-1,-1,2.31,0,0,,0.094,0.094,1      ,1      ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,3,1,1,0,0,0,FALSE,CHW,,0,4.135,0.111111111,0.111111111,0,0.333333333,1,0,119,0,0,,1.25210084,TRUE,70,1.291319328,612434
Mike Clevinger,2,0.33,6,3,1.715,2,1,,0.011,0.0055,  2/3 ,  1/3 ,0,0,0,0,0,0,0,0,0,0,3,1.5,0,0,1,0.5,0,0,0,0,0,0,5,2.5,3,1.5,0,0,0,FALSE,CHW,,0,13.635,0.111111111,0.333333333,0,0.6,4.5,0,119,0,0,,2.504201681,TRUE,70,2.582638655,605182
Penn Murfee,2,0.56,6,3,1.705,0,0,,0.052,0.026,1  2/3 ,  5/6 ,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,3,1.5,0,0,0,0,0,0,7,3.5,2,1,0,0,0,FALSE,CHW,,0,1.335,0.333333333,0.111111111,0.142857143,0.285714286,1.2,0,119,0,1,,2.504201681,TRUE,70,2.582638655,682171
Graham Ashcraft,23,9.01,52,2.260869565,1.768695652,13,0.565217391,,1.944,0.084521739,23  1/3 ,1  1/69,16,0.695652174,4,0.173913043,2,0.086956522,2,0.086956522,1,0.043478261,8,0.347826087,0,0,23,1,0,0,0,0,1,0.043478261,91,3.956521739,25,1.086956522,1,0.043478261,0,TRUE,CIN,,0.771428571,2.749285714,2.555555556,0.888888889,0.175824176,0.263736264,1.028571429,1.542857143,167,0,6,,20.52095808,FALSE,104,21.16371856,668933
Nick Martinez,5,2.79,15,3,0.888,0,0,,0.314,0.0628,5  1/3 ,1  1/15,2,0.4,0,0,0,0,0,0,0,0,1,0.2,0,0,3,0.6,0,0,0,0,0,0,19,3.8,3,0.6,0,0,0,TRUE,CIN,,0,2.5725,0.333333333,0.111111111,0.105263158,0.157894737,0.5625,0,167,0,0,,4.461077844,FALSE,104,4.600808383,607259
Tony Santillan,33,11.46,62,1.878787879,1.675757576,6,0.181818182,,2.544,0.077090909,32  1/3 , 97/99,18,0.545454545,5,0.151515152,5,0.151515152,0,0,2,0.060606061,11,0.333333333,0,0,35,1.060606061,2,0.060606061,0,0,1,0.03030303,122,3.696969697,32,0.96969697,2,0.060606061,0,TRUE,CIN,,1.391752577,2.980360825,3.888888889,1.222222222,0.147540984,0.254098361,0.896907216,1.391752577,167,7,4,,29.44311377,FALSE,104,30.36533533,663574
Chase Burns,1,-1.13,3,3,1.92,0,0,,-0.172,-0.172,1  1/3 ,1  1/3 ,3,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,7,3,3,0,0,0,FALSE,CIN,,6.75,1.635,0.111111111,0,0.428571429,0.428571429,2.25,6.75,167,0,0,,0.892215569,FALSE,104,0.920161677,695505
Scott Barlow,16,2.49,19,1.1875,1.6575,8,0.5,,0.636,0.03975,13  1/3 ,  5/6 ,11,0.6875,9,0.5625,9,0.5625,0,0,2,0.125,6,0.375,0,0,11,0.6875,0,0,0,0,0,0,57,3.5625,17,1.0625,0,0,0,TRUE,CIN,,6.075,4.785,1.222222222,0.666666667,0.192982456,0.298245614,1.275,6.075,167,1,1,,14.2754491,FALSE,104,14.72258683,605130
Sam Moll,2,0.91,9,4.5,1.775,2,1,,0.131,0.0655,2      ,1      ,1,0.5,2,1,2,1,0,0,1,0.5,1,0.5,0,0,3,1.5,0,0,0,0,0,0,7,3.5,2,1,0,0,0,FALSE,CIN,,9,8.135,0.333333333,0.111111111,0.142857143,0.285714286,1,9,167,0,0,,1.784431138,FALSE,104,1.840323353,594580
Luis Mey,4,-1.38,12,3,1.3425,1,0.25,,-0.068,-0.017,2  2/3 ,  2/3 ,2,0.5,1,0.25,1,0.25,0,0,0,0,5,1.25,0,0,1,0.25,0,0,0,0,1,0.25,15,3.75,7,1.75,1,0.25,0,FALSE,CIN,,3.375,8.01,0.111111111,0.555555556,0.133333333,0.466666667,2.625,3.375,167,0,1,,3.568862275,FALSE,104,3.680646707,682825
Connor Phillips,1,0.5,3,3,1.86,0,0,,0.081,0.081,1      ,1      ,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,1,1,5,5,2,2,0,0,0,FALSE,CIN,,0,2.135,0.222222222,0.111111111,0.2,0.4,2,0,167,0,0,,0.892215569,FALSE,104,0.920161677,683175
Lyon Richardson,3,1.29,14,4.666666667,1.46,1,0.333333333,,0.214,0.071333333,2  1/3 ,  7/9 ,2,0.666666667,0,0,0,0,0,0,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,9,3,3,1,0,0,0,FALSE,CIN,,0,4.420714286,0,0.111111111,0.222222222,0.333333333,1.285714286,0,167,0,1,,2.676646707,FALSE,104,2.76048503,680689
Emilio Pagán,2,1.03,2,1,1.24,0,0,,0.185,0.0925,2      ,1      ,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,3,1.5,0,0,0,0,0,0,7,3.5,1,0.5,0,0,0,FALSE,CIN,,0,1.635,0.333333333,0.111111111,0,0.142857143,0.5,0,167,32,6,,1.784431138,FALSE,104,1.840323353,641941
Ian Gibaut,3,1.57,9,3,1.083333333,0,0,,0.236,0.078666667,3      ,1      ,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1.333333333,0,0,0,0,0,0,12,4,3,1,0,0,0,FALSE,CIN,,0,0.468333333,0.444444444,0,0.25,0.25,1,0,167,0,1,,2.676646707,FALSE,104,2.76048503,664139
Alexis Díaz,4,0.01,8,2,2.505,0,0,,0.032,0.008,2  2/3 ,  2/3 ,2,0.5,1,0.25,1,0.25,0,0,0,0,2,0.5,0,0,5,1.25,1,0.25,0,0,0,0,14,3.5,6,1.5,0,0,0,FALSE,CIN,,3.375,2.76,0.555555556,0.222222222,0.142857143,0.357142857,1.5,3.375,167,0,0,,3.568862275,FALSE,104,3.680646707,664747
Hunter Gaddis,35,12.89,69,1.971428571,1.7,14,0.4,,3.006,0.085885714,34  2/3 ,1      ,20,0.571428571,4,0.114285714,4,0.114285714,0,0,2,0.057142857,11,0.314285714,0,0,37,1.057142857,1,0.028571429,0,0,1,0.028571429,134,3.828571429,32,0.914285714,3,0.085714286,0,TRUE,CLE,,1.038461538,2.788846154,4.111111111,1.222222222,0.149253731,0.23880597,0.894230769,1.038461538,181,3,4,,28.8121547,FALSE,112,29.71461326,683769
Tim Herrin,15,7.1,45,3,1.748666667,7,0.466666667,,1.243,0.082866667,12  1/3 , 37/45,3,0.2,0,0,0,0,0,0,0,0,4,0.266666667,0,0,15,1,2,0.133333333,0,0,0,0,45,3,11,0.733333333,0,0,0,TRUE,CLE,,0,2.162027027,1.666666667,0.444444444,0.066666667,0.2,0.567567568,0,181,0,2,,12.3480663,FALSE,112,12.73483425,682120
Erik Sabrowski,12,5.5,33,2.75,1.739166667,6,0.5,,0.904,0.075333333,11  1/3 , 17/18,5,0.416666667,3,0.25,1,0.083333333,2,0.166666667,1,0.083333333,4,0.333333333,0,0,16,1.333333333,1,0.083333333,0,0,0,0,42,3.5,10,0.833333333,0,0,0,TRUE,CLE,,0.794117647,2.782058824,1.777777778,0.444444444,0.119047619,0.238095238,0.794117647,2.382352941,181,0,0,,9.878453039,FALSE,112,10.1878674,681870
Kolby Allard,4,3.16,10,2.5,1.355,0,0,,0.461,0.11525,6  1/3 ,1  7/12,3,0.75,0,0,0,0,0,0,0,0,3,0.75,0,0,5,1.25,0,0,0,0,0,0,24,6,6,1.5,0,0,0,FALSE,CLE,,0,2.977105263,0.555555556,0.333333333,0.125,0.25,0.947368421,0,181,0,0,,3.29281768,FALSE,112,3.395955801,663465
Matt Festa,12,1.77,12,1,1.615,3,0.25,,0.287,0.023916667,8  1/3 , 25/36,5,0.416666667,3,0.25,3,0.25,0,0,0,0,3,0.25,0,0,9,0.75,2,0.166666667,0,0,0,0,34,2.833333333,10,0.833333333,0,0,1,TRUE,CLE,,3.24,2.775,1,0.333333333,0.147058824,0.294117647,0.96,3.24,181,0,2,,9.878453039,FALSE,112,10.1878674,670036
Jakob Junis,6,0.51,10,1.666666667,1.168333333,1,0.166666667,,0.173,0.028833333,4  2/3 ,  7/9 ,4,0.666666667,2,0.333333333,2,0.333333333,0,0,0,0,1,0.166666667,0,0,4,0.666666667,0,0,0,0,0,0,19,3.166666667,5,0.833333333,1,0.166666667,0,TRUE,CLE,,3.857142857,2.063571429,0.444444444,0.111111111,0.210526316,0.263157895,1.071428571,3.857142857,181,0,0,,4.939226519,FALSE,112,5.093933702,596001
Nic Enright,3,1.7,9,3,1.283333333,1,0.333333333,,0.228,0.076,3  2/3 ,1  2/9 ,1,0.333333333,0,0,0,0,0,0,0,0,1,0.333333333,0,0,2,0.666666667,1,0.333333333,0,0,0,0,14,4.666666667,3,1,0,0,0,FALSE,CLE,,0,3.680454545,0.222222222,0.111111111,0.071428571,0.214285714,0.545454545,0,181,1,1,,2.46961326,FALSE,112,2.546966851,663671
Cade Smith,19,9.83,50,2.631578947,1.701052632,13,0.684210526,,1.72,0.090526316,18  1/3 , 55/57,8,0.421052632,0,0,0,0,0,0,0,0,7,0.368421053,0,0,26,1.368421053,0,0,2,0.105263158,1,0.052631579,69,3.631578947,15,0.789473684,3,0.157894737,0,TRUE,CLE,,0,1.444090909,2.888888889,0.777777778,0.115942029,0.217391304,0.818181818,0,181,16,6,,15.64088398,FALSE,112,16.13079006,671922
Paul Sewald,4,1.93,8,2,1.6475,2,0.5,,0.309,0.07725,3  1/3 ,  5/6 ,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,12,3,2,0.5,0,0,0,FALSE,CLE,,0,0.735,0.444444444,0,0.166666667,0.166666667,0.6,0,181,2,2,,3.29281768,FALSE,112,3.395955801,623149
Emmanuel Clase,1,0.51,1,1,1.59,0,0,,0.121,0.121,1      ,1      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,FALSE,CLE,,0,-0.865,0.222222222,0,0,0,0,0,181,24,5,,0.82320442,FALSE,112,0.84898895,661403
Joey Cantillo,1,0.1,2,2,0.86,0,0,,0.013,0.013,  1/3 ,  1/3 ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,FALSE,CLE,,0,6.135,0.111111111,0.111111111,0,0.5,3,0,181,1,0,,0.82320442,FALSE,112,0.84898895,676282
Jimmy Herget,9,6.07,5,0.555555556,1.998888889,5,0.555555556,,1.067,0.118555556,9  1/3 ,1  1/27,3,0.333333333,0,0,0,0,0,0,0,0,3,0.333333333,0,0,15,1.666666667,0,0,0,0,1,0.111111111,33,3.666666667,6,0.666666667,1,0.111111111,0,TRUE,COL,,0,0.885,1.666666667,0.333333333,0.090909091,0.181818182,0.642857143,0,115,0,1,,11.66086957,TRUE,61,12.02611304,623474
Jaden Hill,3,1.59,1,0.333333333,0.993333333,0,0,,0.23,0.076666667,3      ,1      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,9,3,0,0,0,0,0,FALSE,COL,,0,1.135,0.333333333,0,0,0,0,0,115,0,0,,3.886956522,TRUE,61,4.008704348,677955
Juan Mejia,12,5.47,11,0.916666667,1.906666667,3,0.25,,0.964,0.080333333,12  1/3 ,1  1/36,5,0.416666667,4,0.333333333,4,0.333333333,0,0,0,0,5,0.416666667,0,0,15,1.25,3,0.25,0,0,0,0,47,3.916666667,13,1.083333333,0,0,1,TRUE,COL,,2.918918919,2.648513514,1.666666667,0.555555556,0.106382979,0.276595745,0.810810811,2.918918919,115,1,3,,15.54782609,TRUE,61,16.03481739,675848
Victor Vodnik,7,3.34,15,2.142857143,1.137142857,2,0.285714286,,0.517,0.073857143,7  1/3 ,1  1/21,4,0.571428571,1,0.142857143,1,0.142857143,0,0,0,0,3,0.428571429,0,0,4,0.571428571,0,0,0,0,0,0,28,4,7,1,0,0,0,TRUE,COL,,1.227272727,3.271363636,0.444444444,0.333333333,0.142857143,0.25,0.954545455,1.227272727,115,10,5,,9.069565217,TRUE,61,9.353643478,680767
Jake Bird,10,6.66,12,1.2,1.939,9,0.9,,1.087,0.1087,11      ,1  1/10,4,0.4,1,0.1,0,0,1,0.1,0,0,1,0.1,0,0,16,1.6,1,0.1,0,0,0,0,38,3.8,6,0.6,1,0.1,0,TRUE,COL,,0,0.771363636,1.777777778,0.111111111,0.105263158,0.157894737,0.454545455,0.818181818,115,0,6,,12.95652174,TRUE,61,13.36234783,656234
Zach Agnos,3,-1.02,3,1,1.913333333,0,0,,-0.039,-0.013,2  1/3 ,  7/9 ,2,0.666666667,4,1.333333333,4,1.333333333,0,0,1,0.333333333,3,1,0,0,2,0.666666667,0,0,0,0,1,0.333333333,12,4,5,1.666666667,0,0,1,FALSE,COL,,15.42857143,10.84928571,0.222222222,0.333333333,0.166666667,0.416666667,2.142857143,15.42857143,115,4,0,,3.886956522,TRUE,61,4.008704348,688642
Seth Halvorsen,4,2.18,3,0.75,1.745,0,0,,0.498,0.1245,4      ,1      ,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0,6,1.5,0,0,0,0,0,0,12,3,1,0.25,0,0,0,FALSE,COL,,0,0.885,0.666666667,0.111111111,0,0.083333333,0.25,0,115,11,3,,5.182608696,TRUE,61,5.34493913,678020
Scott Alexander,3,1.02,-3,-1,1.99,1,0.333333333,,0.236,0.078666667,2  1/3 ,  7/9 ,4,1.333333333,2,0.666666667,2,0.666666667,0,0,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,9,3,5,1.666666667,0,0,1,FALSE,COL,,7.714285714,4.420714286,0,0.111111111,0.444444444,0.555555556,2.142857143,7.714285714,115,0,1,,3.886956522,TRUE,61,4.008704348,518397
Luis Peralta,1,0.26,7,7,0.96,0,0,,0.026,0.026,  1/3 ,  1/3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE,COL,,0,3.135,0,0,0,0,0,0,115,0,3,,1.295652174,TRUE,61,1.336234783,678821
Angel Chivilli,1,-0.95,1,1,2.44,0,0,,-0.123,-0.123,  2/3 ,  2/3 ,2,2,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,5,5,3,3,0,0,0,FALSE,COL,,13.5,4.635,0.111111111,0.111111111,0.4,0.6,4.5,13.5,115,0,0,,1.295652174,TRUE,61,1.336234783,683409
Kyle Finnegan,3,-0.47,2,0.666666667,2.093333333,1,0.333333333,,0.159,0.053,2  2/3 ,  8/9 ,2,0.666666667,1,0.333333333,1,0.333333333,0,0,1,0.333333333,2,0.666666667,0,0,3,1,0,0,0,0,0,0,12,4,4,1.333333333,1,0.333333333,0,FALSE,DET,,3.375,8.01,0.333333333,0.222222222,0.166666667,0.333333333,1.5,3.375,137,24,7,,3.262773723,TRUE,75,3.364970803,640448
Tyler Holton,17,1.12,57,3.352941176,1.779411765,11,0.647058824,,0.383,0.022529412,13  2/3 , 41/51,15,0.882352941,9,0.529411765,8,0.470588235,1,0.058823529,1,0.058823529,7,0.411764706,0,0,7,0.411764706,0,0,0,0,1,0.058823529,61,3.588235294,24,1.411764706,2,0.117647059,0,TRUE,DET,,5.268292683,4.598414634,0.777777778,0.777777778,0.245901639,0.360655738,1.609756098,5.926829268,137,0,4,,18.48905109,TRUE,75,19.06816788,663947
Tommy Kahnle,16,7.87,43,2.6875,1.553125,8,0.5,,1.277,0.0798125,16      ,1      ,9,0.5625,1,0.0625,1,0.0625,0,0,1,0.0625,5,0.3125,0,0,8,0.5,0,0,0,0,0,0,59,3.6875,14,0.875,1,0.0625,0,TRUE,DET,,0.5625,3.885,0.888888889,0.555555556,0.152542373,0.237288136,0.875,0.5625,137,9,5,,17.40145985,TRUE,75,17.94651095,592454
José Urquidy,1,0.11,2,2,1.5,0,0,,0.001,0.001,1  1/3 ,1  1/3 ,2,2,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,7,7,3,3,0,0,0,FALSE,DET,,0,2.385,0.222222222,0.111111111,0.285714286,0.428571429,2.25,0,137,0,0,,1.087591241,TRUE,75,1.121656934,664353
Troy Melton,4,-0.07,12,3,1.445,2,0.5,,0.03,0.0075,7      ,1  3/4 ,8,2,3,0.75,3,0.75,0,0,2,0.5,6,1.5,0,0,7,1.75,1,0.25,0,0,1,0.25,35,8.75,15,3.75,0,0,0,FALSE,DET,,3.857142857,7.849285714,0.777777778,0.666666667,0.228571429,0.428571429,2,3.857142857,137,0,0,,4.350364964,TRUE,75,4.486627737,675512
Will Vest,3,2.21,10,3.333333333,1.876666667,3,1,,0.365,0.121666667,3  2/3 ,1  2/9 ,3,1,0,0,0,0,0,0,0,0,2,0.666666667,0,0,2,0.666666667,0,0,0,0,1,0.333333333,16,5.333333333,5,1.666666667,0,0,0,FALSE,DET,,0,3.680454545,0.222222222,0.222222222,0.1875,0.3125,1.363636364,0,137,23,7,,3.262773723,TRUE,75,3.364970803,676684
Sawyer Gipson-Long,2,2.05,3,1.5,1.075,0,0,,0.345,0.1725,6  2/3 ,3  1/3 ,4,2,1,0.5,1,0.5,0,0,0,0,0,0,0,0,7,3.5,1,0.5,0,0,1,0.5,23,11.5,5,2.5,0,0,0,FALSE,DET,,1.35,1.485,0.777777778,0,0.173913043,0.217391304,0.6,1.35,137,0,0,,2.175182482,TRUE,75,2.243313869,687830
Brant Hurter,5,2.6,-1,-0.2,2.01,2,0.4,,0.485,0.097,5      ,1      ,3,0.6,1,0.2,1,0.2,0,0,0,0,0,0,0,0,6,1.2,3,0.6,0,0,0,0,20,4,6,1.2,0,0,0,TRUE,DET,,1.8,2.535,0.666666667,0,0.15,0.3,0.6,1.8,137,2,0,,5.437956204,TRUE,75,5.608284672,676428
Brenan Hanifee,10,2.41,28,2.8,1.774,8,0.8,,0.388,0.0388,10      ,1      ,13,1.3,3,0.3,3,0.3,0,0,0,0,1,0.1,0,0,4,0.4,0,0,0,0,0,0,41,4.1,14,1.4,2,0.2,0,TRUE,DET,,2.7,2.635,0.444444444,0.111111111,0.317073171,0.341463415,1.4,2.7,137,0,1,,10.87591241,TRUE,75,11.21656934,669724
Chase Lee,4,2.13,19,4.75,1.2625,0,0,,0.256,0.064,4  2/3 ,1  1/6 ,5,1.25,0,0,0,0,0,0,0,0,1,0.25,0,0,4,1,0,0,0,0,0,0,17,4.25,6,1.5,0,0,0,FALSE,DET,,0,2.063571429,0.444444444,0.111111111,0.294117647,0.352941176,1.285714286,0,137,0,1,,4.350364964,TRUE,75,4.486627737,695445
Beau Brieske,5,0.06,7,1.4,1.816,2,0.4,,0.131,0.0262,5  1/3 ,1  1/15,1,0.2,2,0.4,2,0.4,0,0,1,0.2,5,1,0,0,4,0.8,0,0,0,0,1,0.2,22,4.4,6,1.2,1,0.2,0,TRUE,DET,,3.375,6.885,0.444444444,0.555555556,0.045454545,0.272727273,1.125,3.375,137,1,1,,5.437956204,TRUE,75,5.608284672,689225
John Brebbia,2,-1.19,2,1,2.39,1,0.5,,-0.285,-0.1425,1      ,  1/2 ,1,0.5,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,7,3.5,3,1.5,0,0,0,FALSE,DET,,0,5.135,0.222222222,0.222222222,0.142857143,0.428571429,3,0,137,0,0,,2.175182482,TRUE,75,2.243313869,605154
Sean Guenther,2,0.65,8,4,1.615,1,0.5,,0.081,0.0405,1  1/3 ,  2/3 ,2,1,1,0.5,1,0.5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,3,2,1,0,0,0,FALSE,DET,,6.75,0.135,0.222222222,0,0.333333333,0.333333333,1.5,6.75,137,0,0,,2.175182482,TRUE,75,2.243313869,674944
Jayden Murray,2,0.3,2,1,1.89,1,0.5,,0.052,0.026,1  2/3 ,  5/6 ,3,1.5,1,0.5,1,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,8,4,4,2,0,0,0,FALSE,HOU,,5.4,4.935,0,0.111111111,0.375,0.5,2.4,5.4,151,0,0,,1.973509934,FALSE,89,2.035324503,681151
Craig Kimbrel,2,0.23,5,2.5,1.85,0,0,,-0.008,-0.004,1  2/3 ,  5/6 ,0,0,0,0,0,0,0,0,0,0,3,1.5,0,0,3,1.5,0,0,0,0,0,0,8,4,3,1.5,0,0,0,FALSE,HOU,,0,4.935,0.333333333,0.333333333,0,0.375,1.8,0,151,0,0,,1.973509934,FALSE,89,2.035324503,518886
