Player,Hold_Count,sRE24,sTmRDiff,aTmRDiff,a_aLI,sIR,aIR,TmRS,sWPA,aWPA,sIP,aIP,sH,aH,sR,aR,sER,aER,sUER,aUER,sHR,aHR,sBB,aBB,sIBB,aIBB,s_SO,aSO,sHBP,aHBP,sBK,aBK,sWP,aWP,sBF,aBF,sBR,aBR,sIS,aIS,Hold_n_Loss,5+_Holds,Team,BONUS,ERA,FIP,K/9,BB/9,BAA,OBP,WHIP,RA9,Team_Sit_Player,SV,BS,MY_STATs_FINALLY,xHOLDS,is_xHolds_M/L_Holds,Teams_Holds,Better_xHolds,player_id
Bryan Baker,19,7.12,47,2.473684211,1.583684211,6,0.315789474,,1.417,0.074578947,17  2/3 , 53/57,12,0.631578947,3,0.157894737,3,0.157894737,0,0,1,0.052631579,1,0.052631579,0,0,19,1,0,0,0,0,0,0,65,3.421052632,13,0.684210526,0,0,0,TRUE,BAL,,1.528301887,1.889716981,2.111111111,0.111111111,0.184615385,0.2,0.735849057,1.528301887,163,3,6,,17.36809816,FALSE,105,17.91210429,641329
Zack Kelly,3,0.26,7,2.333333333,1.233333333,0,0,,0.157,0.052333333,2  2/3 ,  8/9 ,2,0.666666667,1,0.333333333,1,0.333333333,0,0,0,0,1,0.333333333,0,0,3,1,0,0,0,0,0,0,11,3.666666667,3,1,0,0,0,FALSE,BOS,,3.375,2.01,0.333333333,0.111111111,0.181818182,0.272727273,1.125,3.375,159,0,2,,2.811320755,FALSE,86,2.899377358,677161
Steven Matz,13,6.14,35,2.692307692,1.563076923,5,0.384615385,,1.065,0.081923077,15      ,1  2/13,12,0.923076923,2,0.153846154,2,0.153846154,0,0,2,0.153846154,2,0.153846154,0,0,8,0.615384615,0,0,0,0,0,0,55,4.230769231,14,1.076923077,0,0,0,TRUE,BOS,,1.2,4.201666667,0.888888889,0.222222222,0.218181818,0.254545455,0.933333333,1.2,159,2,3,,12.18238994,FALSE,86,12.56396855,571927
Justin Slaten,7,3.12,20,2.857142857,1.814285714,6,0.857142857,,0.564,0.080571429,7  1/3 ,1  1/21,3,0.428571429,2,0.285714286,2,0.285714286,0,0,0,0,2,0.285714286,0,0,5,0.714285714,0,0,0,0,0,0,26,3.714285714,5,0.714285714,1,0.142857143,0,TRUE,BOS,,2.454545455,2.589545455,0.555555556,0.222222222,0.115384615,0.192307692,0.681818182,2.454545455,159,3,3,,6.559748428,FALSE,86,6.765213836,686580
Garrett Whitlock,24,9.78,59,2.458333333,1.78875,5,0.208333333,,1.934,0.080583333,24  2/3 ,1  1/36,19,0.791666667,1,0.041666667,1,0.041666667,0,0,0,0,6,0.25,0,0,38,1.583333333,2,0.083333333,0,0,0,0,99,4.125,28,1.166666667,2,0.083333333,0,TRUE,BOS,,0.364864865,1.026891892,4.222222222,0.666666667,0.191919192,0.272727273,1.013513514,0.364864865,159,1,4,,22.49056604,FALSE,86,23.19501887,676477
Justin Wilson,19,2.84,45,2.368421053,1.538421053,7,0.368421053,,0.696,0.036631579,17      , 17/19,14,0.736842105,7,0.368421053,6,0.315789474,1,0.052631579,0,0,8,0.421052632,0,0,21,1.105263158,2,0.105263158,0,0,1,0.052631579,73,3.842105263,24,1.263157895,1,0.052631579,0,TRUE,BOS,,3.176470588,2.429117647,2.333333333,0.888888889,0.191780822,0.328767123,1.294117647,3.705882353,159,0,4,,17.80503145,FALSE,86,18.36272327,458677
Greg Weissert,17,7.02,45,2.647058824,1.652941176,11,0.647058824,,1.069,0.062882353,12  2/3 , 38/51,6,0.352941176,0,0,0,0,0,0,0,0,7,0.411764706,0,0,14,0.823529412,0,0,0,0,0,0,50,2.941176471,14,0.823529412,1,0.058823529,0,TRUE,BOS,,0,2.582368421,1.555555556,0.777777778,0.12,0.26,1.026315789,0,159,4,9,,15.93081761,FALSE,86,16.42980503,669711
Aroldis Chapman,4,0.04,7,1.75,1.93,0,0,,0.085,0.02125,3  1/3 ,  5/6 ,2,0.5,1,0.25,1,0.25,0,0,1,0.25,2,0.5,0,0,4,1,0,0,0,0,0,0,15,3.75,5,1.25,0,0,0,FALSE,BOS,,2.7,6.435,0.444444444,0.222222222,0.133333333,0.266666667,1.2,2.7,159,32,2,,3.748427673,FALSE,86,3.865836478,547973
Jorge Alcala,5,1.28,11,2.2,2.082,3,0.6,,0.376,0.0752,4  1/3 , 13/15,2,0.4,2,0.4,1,0.2,1,0.2,1,0.2,3,0.6,0,0,5,1,0,0,1,0.2,0,0,18,3.6,5,1,0,0,0,TRUE,BOS,,2.076923077,5.904230769,0.555555556,0.333333333,0.111111111,0.277777778,1.153846154,4.153846154,159,0,2,,4.685534591,FALSE,86,4.832295597,660896
Jordan Hicks,2,-0.88,3,1.5,1.62,0,0,,-0.11,-0.055,1      ,  1/2 ,1,0.5,1,0.5,1,0.5,0,0,0,0,3,1.5,0,0,1,0.5,0,0,0,0,0,0,7,3.5,4,2,0,0,0,FALSE,BOS,,9,10.135,0.111111111,0.333333333,0.142857143,0.571428571,4,9,159,2,1,,1.874213836,FALSE,86,1.932918239,663855
